,station_id,lat,lon,name,capacity,2 cluster,2 cluster
224,1765749389,48.784527937293184,2.3646667979455587,Karl Marx,16,1,1
225,210744286,48.86112461407359,2.381299026310444,Chemin Vert - Saint-Maur,45,1,0
226,101024234,48.82837482809675,2.384273745805574,Quai Panhard et Levassor,57,0,2
227,213992316,48.881287375060616,2.420119643211365,Square du Théâtre du Garde-Chasse,50,1,0
228,213694482,48.877951,2.381464,Botzaris - Parc des Buttes Chaumont,20,1,0
229,39799329,48.87525454905335,2.340853661298752,Faubourg Montmartre - La Fayette,35,0,2
230,129011497,48.876719895109,2.344393021853951,Rochechouart lamartine,24,1,0
231,101743895,48.844835471244416,2.297508493065834,Joseph Liouville - Croix Nivert,64,1,0
232,213691848,48.883498,2.282015,Place Madeleine Daniélou,42,0,2
233,210396518,48.84512772828039,2.3454568170361734,Estrapade - Ulm,16,0,1
234,97677210,48.8644954,2.3750124,Parmentier - République ,50,1,0
235,875078767,48.86746195408435,2.405970990657807,Lieutenant Chauré - Etienne Marey,20,1,0
236,213683992,48.8433725710224,2.275132834911347,Cauchy - Cévennes,51,1,0
237,102338493,48.816939911291605,2.280989480484553,Larmeroux - Baudelaire,30,1,0
238,54000601,48.88611466796807,2.356855627529275,Jean-François Lépine - Stephenson,22,1,0
239,27362896,48.886591074487995,2.261394560337067,Beffroy,26,0,1
240,213687140,48.84520880183234,2.2656840831041336,Molitor - Chardon-Lagache,34,1,1
241,235599121,48.839109,2.4175664,Général De Gaulle - Alouette,26,1,0
242,213680917,48.827673823165846,2.320918142795563,Abbé Carton - Plantes,25,1,0
243,1057774603,48.88863669349711,2.3111706599593163,Marie-Georges Picquart - Pereire,32,1,0
244,213688462,48.863875,2.28189,Sablons - Georges Mandel,38,1,1
245,102749572,48.847563015126106,2.433383166790009,Gare RER de Vincennes,51,0,2
246,549876068,48.872687731400255,2.3764613270759587,Villette - Belleville,48,1,0
247,390212609,48.85034821320644,2.273029983043671,Théophile Gautier - François Millet,30,1,0
248,63498079,48.88125496379482,2.373463287949562,Marché Secrétan,26,1,0
249,210573120,48.87483645783703,2.297132313251496,Hoche - Tilsitt,33,0,2
250,39254792,48.858925,2.3789759,Mairie du 11ème,51,1,0
251,1558958733,48.89790972494496,2.2383723043644914,Arche - Léonard de Vinci,28,0,2
252,2515802454,48.87991924860035,2.2763770446181297,Charles de Gaulle - Sablonville,26,0,2
253,648227675,48.82577028927573,2.3210415244102482,Auguste Cain - Jean Moulin,40,1,0
254,42566291,48.87372241291653,2.315848097205162,Miromesnil - La Boétie,35,0,2
255,1062206433,48.877141208359035,2.4461565166711807,Chemin Vert - Fraternité,20,1,0
256,129032910,48.871624306962985,2.3639265082738348,Marseille - Beaurepaire,55,1,1
257,237624030,48.872988840743595,2.3294984212276404,Mathurins - Auber,36,0,2
258,647826568,48.850571,2.3471015,Saint-Germain - Thenard,31,0,2
259,54000577,48.83486054775774,2.3445770524322067,Arago - Glacière,27,1,0
260,54001024,48.86921273836114,2.371688821240712,Parmentier - Abel Rabaud,53,1,0
261,94250567,48.81057120969284,2.3842826485633855,Mairie d'Ivry-sur-Seine,53,1,0
262,129078200,48.83227829269761,2.3022570088505745,Parc Georges Brassens - Brancion,29,1,0
